id,premise,hypothesis,lang_abv,language,label
cc6c64c687,أعلنت منظمة الصحة العالمية أن استراتيجية جديدة لعلاج السل يمكن أن تنقذ حياة 10 ملايين شخص في السنوات العشر المقبلة.,طورت منظمة الصحة العالمية استراتيجية لعلاج السل يمكن أن تنقذ أكثر من 10 ملايين شخص,ar,Arabic,1
526fdc06e0,ملحوظة: هديتك أمر بالغ الأهمية لاحتفالنا بالذكرى السنوية الخامسة والثمانين ، مما يجعل مسرح إنديانابوليس البلدي أقدم مسرح مجتمعي يعمل باستمرار في البلاد.,نحتفل اليوم بالافتتاح الكبير لأحدث مسرح شرطة في ولاية إنديانا.,ar,Arabic,2
e4bbe7bb97,"Она даже не знает свадьбы, она даже не знает, что действительно замужем -","Она знала, что собиралась делать.",ru,Russian,2
ec3331392d,जनसंख्या वृद्धि विपरीत दिशा में प्रदूषण की तरह है।,जनसंख्या वृद्धि प्रदूषण के विपरीत है।,hi,Hindi,0
e65978db8f,لیکن اس کے علاوہ ، مجھے امید ہے کہ یہ زیادہ گرم نہیں ہے ، شاید یہ کرسمس کی شام ہو ، یا برف باری ہو ، یہ اچھی بات ہے ، لیکن کچھ اچھ feelی محسوس نہیں کرتے ہیں۔,مجھے امید ہے کہ کرسمس پر برف کے علاوہ موسم مزید سرد اور گرم نہیں ہوگا۔,ur,Urdu,0
98dab43a24,"Kuna ushahidi unaozidi kuongezeka kuwa hatua za idara ya dharura zinafaa, na rufaa za matibabu pia zinaweza kuwa nzuri.","Katika kesi hii, idara ya dharura haiwezi kufanya chochote",sw,Swahili,2
ca91433a01,Πρέπει να κάνεις κάτι για μένα.,Θέλω να κάνω κάτι.,el,Greek,0
ee45768d78,ان میلوں کی منڈی کے طور پر کراس ٹریپیزائڈ فلاح و بہبود کا نقصان ہے ، لہذا ان کو منتقل نہیں کیا جاسکتا ہے۔,شورش زدہ پینٹاگون نے میل مارکیٹ میں منافع بڑھانے میں مدد کی۔,ur,Urdu,2
9be9c30653,"Während der Sendung kam ein junges Paar auf die Bühne, um Hallo zu sagen.",Ein junges Paar ging zur Uraufführung.,de,German,1
de1aa7c7f9,"Hơn nữa, tôi hy vọng bạn có thể ủng hộ nghệ thuật và giáo dục của Nhà hát Civic một lần nữa trong năm nay.",Nhà hát Công dân có đủ kinh phí và sẽ không nhận thêm tiền.,vi,Vietnamese,2
3511f97057,"Kwa kutazama nyuma ya macho yake, aliona sura hafifu ya kijivu ikitambaa juu ya mwenzake.",Ana macho matatu.,sw,Swahili,2
09b4fcf9d0,"Хотя до сих пор не понимаю, как он от меня этого ожидает.","Я не понимаю, почему он думает, что я хочу закончить.",ru,Russian,0
1892dd02c4,"Наконец, по сравнению с текущими тарифами во Франции и США интенсивность почтовых расходов кажется более важным фактором в стоимости доставки.",Компактность почтового проекта совершенно не повлияет на стоимость.,ru,Russian,2
245dff1b30,بعد عودته إلى المنزل ، التقى هاج بعميل مكتب التحقيقات الفيدرالي في المطار ، وتم استجوابه ، واستدعته هيئة المحلفين في مكتب التحقيقات الفيدرالي في اليوم التالي ، ثم حقق مع بن لادن.,استجوب عملاء مكتب التحقيقات الفدرالي الحاج لمدة ثلاث ساعات.,ar,Arabic,1
1963a8a8c6,Se dio cuenta de que tal vez ella misma lo irritaba.,Pensó que tal vez podría irritarla.,es,Spanish,0
12fec7214e,"Kabul edilemez ifadelere bir alternatif olarak, herhangi birinin kendi yüzünü incitmesini veya çevredeki kişileri veya belirli üçüncü kişileri ihmal etme suçundan kaçınmasını önleyebilir.",Kalp kırıklığından kaçının.,tr,Turkish,1
56ea39b9a6,"Όταν τράβηξα το αεροπλάνο, όταν τράβηξε την τέντα και άρχισε να την τραβά, έδειξε στην αριστερή πλευρά του αεροπλάνου δύο όργανα που πραγματικά έλιωσαν κατά τη διάρκεια της πτήσης.",Τα όργανα στο αεροπλάνο έλιωσαν.,el,Greek,0
7befe1a9fb,Dios conoce muchas mentiras y puedo probarlo.,Puedo probar la información falsa en la transacción.,es,Spanish,0
28bba371d5,"Der Kunde ist auch besorgt über Pakistan und die Bedingungen, die erforderlich sind, um die Taliban nach Al-Kaida zu befördern.",Keine Aufmerksamkeit für Pakistan oder die Taliban.,de,German,2
50e9d7912b,"Manchmal möchten Sie glauben, dass alle Englisch sprechenden Personen einer Organisation angehören.",Trotz dieses Auftretens sind englischsprachige Personen nicht anfällig für geistige Instabilität.,de,German,1
1a42863cae,"Oh, pour moi, j'aime l'ambiance","Je me sens en sécurité ici, c'est pourquoi j'aime ça.",fr,French,1
fbb868ec1d,"Il est venu et a ouvert la porte Je me souviens avoir regardé l'expression de son visage, je pouvais voir qu'il était déçu.","Il a essayé de ne pas nous faire sentir à l'intérieur, mais nous savions que nous lui causions des problèmes.",fr,French,1
44fd8e7663,"Vâng, tôi thậm chí còn không nghĩ về điều đó, nhưng tôi đã thất vọng, và tôi đã nói chuyện với anh ấy một lần nữa.",Tôi rất buồn nên bắt đầu nói chuyện với anh ấy một lần nữa.,vi,Vietnamese,0
9086b9db3f,"Walakini, tofauti kubwa iligunduliwa kwa sababu",Kuna tofauti dhahiri.,sw,Swahili,0
bdf26611af,"Έκαναν μερικές ερωτήσεις, τους απάντησα, και στη συνέχεια είπαν, πάρτε τη βαλίτσα σας, φύγετε αμέσως εκεί και φτάστε στη διεύθυνση στην οποία θέλετε να πάτε όταν φτάσετε στην Ουάσιγκτον.",Μου είπαν να πάρω μια λευκή βαλίτσα.,el,Greek,1
6661d2d47b,"Die Armut talentierter IT-Mitarbeiter in der heutigen Marktwelt ist häufig der Grund, warum Unternehmen auf der ganzen Welt Mitarbeiter einstellen.","Es gibt nicht genügend IT-Mitarbeiter, um den Job zu besetzen.",de,German,0
e46ed25ce7,هي حقا لم تفهم.,إنه يعرف بالضبط ما نتحدث عنه.,ar,Arabic,2
880a3d4b3b,กลุ่มความปลอดภัยของข้อมูลประกอบด้วยอุปกรณ์ 8 ถึง 12 ชุดต่อเดือน,ทีมรักษาความปลอดภัยดำเนินการประชุมทุกวันทุกเดือน,th,Thai,2
5501649a80,"Μου διέταξε να πάω στο Del Rio του Τέξας, οπότε όταν έφτασα εκεί, ανακάλυψα ότι έπρεπε να πάω στη βάση αεροπορικής βάσης του Laughlin.",Με έστειλαν να εργαστώ στο Del Rio του Τέξας.,el,Greek,0
2efebcee37,میں یہ نہیں سوچ سکتا کہ آپ نے دفاع کرنے کی زحمت کیوں کی ، وہ اسے ناراض کرتا ہے۔,اس کی حوصلہ افزائی کے عمل میں ، اس نے بہت ساری وجوہات معلوم کیں ، آپ کو اپنے آپ کو بچانے کی کوشش کرنی چاہئے۔,ur,Urdu,2
b71507f6b5,"Ja, ja, Sie haben am Anfang zwei Wochen, und dann erhalten Sie jedes Jahr einen zusätzlichen Tag, bis Sie vier Wochen Zeit haben",Ihre Zeit nimmt von Jahr zu Jahr zu.,de,German,0
